epoch,train_loss,val_loss,dice,iou,precision,recall
1,0.39114389499792684,0.366266516997264,0.5847151797551375,0.4262942706163113,0.8049340165578402,0.4923947215080261
2,0.357248490017194,0.3623709596120394,0.5609287839669448,0.4043319069422208,0.857500022649765,0.44358019347374256
3,0.3554629157942075,0.36749264712517077,0.6094921891505901,0.451373202754901,0.7691966767494495,0.5394137999186149
4,0.34774891791435386,0.3606806842180399,0.5926984388094682,0.43435141169107877,0.8341475972762474,0.4885980404340304
5,0.34261158257722857,0.3514192141019381,0.5977873834279868,0.4401700884103775,0.8302725553512573,0.49638212529512554
6,0.3364680192218377,0.34489437983586235,0.5941587255551265,0.435913489644344,0.8427076403911297,0.4837872771116403
7,0.33264530301094053,0.34865190707720245,0.6092425745267135,0.45088446828035206,0.8395086320546957,0.5039564066208326
8,0.33295036726273025,0.3800092610029074,0.6417413262220529,0.48435839758469507,0.7847299662920145,0.5758655999715512
9,0.32554231291780106,0.341850214279615,0.6386841741892008,0.48266036602166984,0.811962746656858,0.5555452156525392
10,0.3240264799159307,0.34424384763607613,0.5853840213555556,0.4279782217282515,0.869995221724877,0.46583941670564505
