epoch,train_loss,val_loss,dice,iou,precision,recall
1,0.7765747109284767,0.6196002795146062,0.753076327764071,0.6131076934245917,0.733888448201693,0.7965169746142168
2,0.5915204879183036,0.5600757649311653,0.7654461668087886,0.6282483353064611,0.7276455108936016,0.835307233608686
3,0.5255056036206393,0.5260169196587342,0.7706728536349077,0.6371141630869646,0.8681132279909574,0.7140264570713043
4,0.49532934811252816,0.46795010841809787,0.8061277710474455,0.683208830998494,0.8224875138356136,0.8095664533284994
5,0.48292047518950243,0.4429153302541146,0.8160286270655118,0.697411002104099,0.8338065890165476,0.819012680879006
6,0.4713154380138104,0.47105874808935017,0.8081020648662861,0.6858523941957033,0.8056072620245126,0.8278284600147834
7,0.455163974658801,0.609290945988435,0.7661192719752972,0.6270133646634909,0.69240522476343,0.878627517590156
8,0.43921052005428535,0.41228925746220807,0.8303249024427855,0.7193305373191834,0.88311895269614,0.7997736238516294
9,0.4303243759159858,0.4451190982873623,0.8104042566739595,0.6915168720942277,0.8989658337373,0.751291994865124
10,0.43192789457165276,0.4105816648556636,0.8334242875759418,0.722027435211035,0.8611264017912058,0.8229238982384022
