epoch,train_loss,val_loss,dice,iou,precision,recall
1,1.1085562009077805,0.8932946847035335,0.6149453369470743,0.45466066392568444,0.7040721948330219,0.593731610591595
2,0.8421439523880299,0.8656130699010995,0.5851091836507504,0.4269108086824417,0.8063369801411262,0.49230983348993157
3,0.8315630697287046,0.8410077636058514,0.6080728815152094,0.44971214120204633,0.7843060759397653,0.5354282402075254
4,0.8186230432528716,0.826216459274292,0.6402974733939537,0.48284780772832725,0.6433309351022427,0.6948286276597243
5,0.7900844101722424,0.8149538393204029,0.6654309236086332,0.5109300095301408,0.6296177433087276,0.7582852670779595
6,0.7442874658566255,0.7628389853697557,0.6744408887166243,0.521615128333752,0.7622368830900926,0.6377447029718986
7,0.7378727784523598,0.7511102337103623,0.6790304853365972,0.5259510748661481,0.7800081849098206,0.632779874939185
8,0.7140149177267001,0.7369209711368268,0.6814410723172701,0.5286267165954296,0.7712588076408092,0.6402292840755903
9,0.7141147900086183,0.7216498072330768,0.6982472364719098,0.5472518480741061,0.7359631226612972,0.6995313396820655
10,0.6813115333135311,0.7139650610777047,0.6870571558292096,0.5347718947208845,0.7930878125704252,0.633295149069566
