epoch,train_loss,val_loss,dice,iou,precision,recall
1,0.8681100006286915,0.9103376466494341,0.6290124627260062,0.4697537529927034,0.6614345039312656,0.6361530987116006
2,0.6748375752797493,0.646981903222891,0.7138687239243434,0.5698536739899562,0.8856321862110725,0.6232534016554172
3,0.578902268409729,0.5841832695099024,0.7454449461056636,0.6064227058337285,0.8597623802148379,0.6786994837797605
4,0.5760044652682085,0.5560602550323193,0.7677551581309392,0.6303279846906662,0.760318955549827,0.7969314327606788
5,0.5422068781577624,0.7026974636774797,0.6925225464197305,0.5446653001583539,0.8535438340443832,0.6090888860133978
6,0.5260968019182866,0.5150838835881306,0.7822234172087449,0.6521022393153264,0.8351910669070024,0.7611094236373901
7,0.5142482679623824,0.4990802831374682,0.792607771891814,0.6662746039720682,0.8176991380178011,0.7913942488340231
8,0.48964248735171095,0.5089984758542134,0.7725892419998462,0.6432902645606261,0.9142366565190829,0.6874444759809054
9,0.5004063458396838,0.47690332371454974,0.7960661168281848,0.6697907695403466,0.8370353570351234,0.7765181770691505
10,0.49168708129571037,0.4694740992326003,0.8034681214736058,0.6820444081838314,0.8470403817983774,0.7839569431084853
