epoch,train_loss,val_loss,dice,iou,precision,recall
1,0.9378975374194292,0.8451350065378043,0.6100570339422959,0.4516658753156662,0.7628576081532699,0.5525512931438593
2,0.8519373411169419,0.8515446383219499,0.6237647748910464,0.465150562616495,0.7456698527702919,0.5784794039451159
3,0.8439064036195095,0.82350771014507,0.6255502820014953,0.4682516840788034,0.7727253496646881,0.5632662782302269
4,0.8253109518152016,0.9162558289674613,0.6102643696161417,0.4517581201516665,0.796871443436696,0.5280559395368283
5,0.8234177150405371,0.8412515580654144,0.6113711934823256,0.45397258790639733,0.8144130092400771,0.5195478904705781
6,0.8114447239499826,0.7953937415893261,0.6458248225542215,0.48903619647026064,0.7525102959229396,0.6042427480220794
7,0.8081410604027601,0.8160935287292187,0.6281796496648054,0.4701684873837691,0.7898651173481575,0.5521129346810855
8,0.7900966987013817,0.7785443030870878,0.6591544449329376,0.5045800413076694,0.762816753754249,0.6175593426594368
9,0.7785894189889614,0.788595904295261,0.6391751174743359,0.4819991978315207,0.7762186375948099,0.5736289386565868
10,0.7690906337820567,0.761257638839575,0.6786847284206977,0.5250527909168831,0.7358882133777325,0.6612617442241082
