epoch,train_loss,val_loss,dice,iou,precision,recall
1,0.3691989428721941,0.26674287961079524,0.7406958226974194,0.5976243197917939,0.7320114846412952,0.7779320501364194
2,0.26361603026206676,0.4013221263885498,0.6002259433269501,0.44150798916816714,0.4972797595537626,0.825243158523853
3,0.22854665792905368,0.2315816356585576,0.7694121544177716,0.6353002763711489,0.8239606440067291,0.7514263639083275
4,0.21627434492111205,0.1932864913573632,0.8079158388651334,0.6871385849439181,0.8790693026322585,0.7652588766354781
5,0.21492345952070677,0.18938680520424475,0.8113194318918081,0.6909682851571303,0.8620127494518574,0.7837178743802584
6,0.20168748933535355,0.1956748292996333,0.8051180046338301,0.6852776866692764,0.8833102409656232,0.7584309357863206
7,0.18685853481292725,0.19854361644157997,0.8020850209089426,0.6816778678160448,0.9096107638799227,0.7347488109882061
8,0.18284796797312222,0.1924466353196364,0.8082370198689974,0.6882828840842614,0.884570595392814,0.7637824251101567
9,0.17806688203261448,0.18151257496613724,0.8188567720926725,0.7053186998917507,0.8942180069593283,0.7738537907600402
10,0.1793220953299449,0.1708801425420321,0.8298143166762132,0.7181945085525513,0.88595114671267,0.7968500458277189
