epoch,train_loss,val_loss,dice,iou,precision,recall
1,0.9520395948336675,0.8583068398328928,0.5873043922277598,0.4293205591348501,0.8022422575033628,0.5017094263663658
2,0.9315855261224967,0.834940453676077,0.6381559193134307,0.4805578236396496,0.7218654728852786,0.6135037862337552
3,0.8158385161023873,0.8182218212347764,0.6352846906735347,0.47722150500004107,0.7594480179823362,0.583441629088842
4,0.8004596063723931,0.8020025624678685,0.6367564875345963,0.48039194620572606,0.778853656236942,0.5744248825770158
5,0.80178421827463,0.8121687824909504,0.62177750147306,0.46378953479803525,0.8068089563112992,0.5316233382775233
6,0.7854388206050946,0.7930860670713278,0.641036508175043,0.4835487058529487,0.8012175949720236,0.562336219732578
7,0.7818564829918054,0.7764305660357842,0.6520460793605217,0.49549049322421734,0.7687773085557498,0.5934234729179969
8,0.7671949835924002,0.7580662080874809,0.6611693973724658,0.5061894279259902,0.7791732325003697,0.6098018847979032
9,0.8162521682106532,0.8012360403170953,0.6245346321509435,0.46620996594429015,0.8411584047170786,0.5205476948848138
10,0.7497495542352016,0.7826082339653602,0.648287119773718,0.49136577982168933,0.7987484047046074,0.568085974913377
