epoch,train_loss,val_loss,dice,iou,precision,recall
1,0.7717912954779772,0.7967903719498561,0.6754487303587107,0.5209755021792192,0.5801215820587599,0.8584473784153278
2,0.5983746554989081,0.5329994238339938,0.770231894346384,0.6373909416107031,0.8236700245967278,0.7439104148974786
3,0.5288086677399966,0.5007202292864139,0.7935568268482501,0.6660762131214142,0.8155956181196066,0.7909006068339715
4,0.4821940199113809,0.47983557879924776,0.8050135438258831,0.6808640296642597,0.7836187715713795,0.8466496183322026
5,0.46921821494515126,0.4568481880884904,0.8082387529886685,0.6886854258867411,0.8633959903166845,0.7791566812075101
6,0.4405593241063448,0.6107825856942397,0.7439000248908997,0.6041241173560803,0.7902011972207289,0.7223834147820106
7,0.4360157393492185,0.4807640192600397,0.7990575258548444,0.6771060819809254,0.852328159717413,0.7731872242230635
8,0.41839302480220797,0.43147420997803027,0.8150757532853347,0.6992378299052898,0.9016348416988667,0.7610202156580411
9,0.3983753411242595,0.43387103722645687,0.8142497415726001,0.6951847897126124,0.8577750820379991,0.7922847981636341
10,0.3967372290790081,0.4483381665669955,0.8129279159582579,0.6948784713561719,0.9018305228306697,0.7577047315927652
