epoch,train_loss,val_loss,dice,iou,precision,recall
1,0.4373603717638896,0.33356260519761305,0.6665128244803502,0.5124715140232673,0.7030716102856857,0.6753605702748665
2,0.3436809248649157,0.2784079560866723,0.7216173295791333,0.5719017675289741,0.715043155505107,0.7620271549775051
3,0.2820272193505214,0.2489076513510484,0.751114636201125,0.6086832074018625,0.7785361051559448,0.7502829106954428
4,0.23574470442074996,0.23842823597101065,0.7617354732293349,0.6215616936867053,0.7831154827888195,0.7629772103749789
5,0.23528438118787912,0.22323127801601703,0.7767683331783001,0.6407487241121439,0.8199286836844224,0.7559701529832986
6,0.2299165251163336,0.21048466884172878,0.7895691853303176,0.6594718149075142,0.8446051139097948,0.7582892711345967
7,0.21128722796073326,0.21135362203304583,0.7887360609494722,0.6569767626432272,0.7917410712975722,0.8051385760307312
8,0.20046332409748666,0.19105423230391283,0.8089555382728577,0.6856347863490765,0.8669192836834834,0.7727224611319028
9,0.19249167717420138,0.18802111148834227,0.8120119681725135,0.689562468803846,0.8111359101075393,0.830985036263099
10,0.1904651939868927,0.18479086344058698,0.8152673987241892,0.6925870129695305,0.8025230563603915,0.8460342480586125
