epoch,train_loss,val_loss,dice,iou,precision,recall
1,0.3593154832147635,0.3760782803480442,0.5661398977041244,0.40706743116562183,0.8347596443616427,0.4500407196008242
2,0.2906702029017302,0.25038546931285127,0.7580769914847154,0.6238827787912808,0.8346817910671234,0.7204516007350041
3,0.24775561343591948,0.22424660336512786,0.7834393313297858,0.6546137218291943,0.8831757999383486,0.7231894144645103
4,0.23648145184493982,0.23135430503350038,0.7491373066718762,0.6122130311452425,0.945150523002331,0.6370742641962491
5,0.2255359309510543,0.23025928357472786,0.7572795684521015,0.6235175444529607,0.9318258854059073,0.6548694225457998
6,0.2153822005654757,0.19313718516093034,0.8166480169846462,0.6994556715855231,0.8890424682543828,0.7698485158956968
7,0.2021201763015527,0.2246181022662383,0.7441360028890464,0.6088586963140048,0.9484674068597647,0.630896441753094
8,0.19860031120479107,0.20488779596411266,0.8064735339238094,0.6863837223786574,0.8769836013133709,0.764597168794045
9,0.19710131625716504,0.19895821809768677,0.785135147204766,0.6613260814776787,0.9172598306949322,0.7054666399955749
10,0.1914107005470074,0.22431186391757085,0.7928652754196754,0.6645880474494054,0.7930501181345719,0.8099796813267928
